"NA.","NA..1","NA..2","NA..3","Tipo","NA..4","Absolutos","Relativos"
,,,,"Robo en calle",,362411,17.3474936408814
,,,,"Fraude bancario",,288532,13.8111344169763
,,,,"Extorsión",,287471,13.7603476286256
,,,,"Robo parcial de vehículo",,250783,12.0042065437891
,,,,"Amenazas verbales",,205522,9.83770246504998
,,,,"Total",,1394719,66.7608846953223
,,,,,,,
"Estado de México",,5150637,,,,,
,,,,"Robo en calle",,1997046,38.772796452167
,,,,"Extorsión",,814221,15.8081612041384
,,,,"Fraude bancario",,597204,11.5947600267695
,,,,"Robo parcial de vehículo",,284232,5.5183853958258
,,,,"Amenazas verbales",,228584,4.43797534169075
,,,,"Total",,3921287,76.1320784205915
,,,,,,,
"Michoacán de Ocampo",,777652,,,,,
,,,,"Extorsión",,146511,18.8401752969194
,,,,"Amenazas verbales",,110239,14.1758781562961
,,,,"Robo en calle",,107628,13.8401238600299
,,,,"Fraude al consumidor",,66819,8.5924038001574
,,,,"Fraude bancario",,64916,8.3476927983211
,,,,"Total",,496113,63.796273911724
,,,,,,,
"Morelos",,567087,,,,,
,,,,"Robo en calle",,112560,19.8488062678213
,,,,"Extorsión",,103231,18.2037324079021
,,,,"Amenazas verbales",,65054,11.4716084128185
,,,,"Hostigamiento sexual",,51192,9.02718630474689
,,,,"Fraude bancario",,46990,8.28620652563011
,,,,"Total",,379027,66.837539918919
,,,,,,,
"Nayarit",,202437,,,,,
,,,,"Extorsión",,56241,27.7819766149469
,,,,"Otro tipo de robo",,20786,10.2678858113882
,,,,"Amenazas verbales",,19209,9.48887802131033
,,,,"Fraude bancario",,17266,8.52907324253965
,,,,"Robo parcial de vehículo",,15710,7.76043905017363
,,,,"Total",,129212,63.8282527403587
,,,,,,,
"Nuevo León",,1380504,,,,,
,,,,"Fraude bancario",,197847,14.3315050155595
,,,,"Robo en calle",,180470,13.0727618319107
,,,,"Amenazas verbales",,163408,11.8368364017779
,,,,"Robo parcial de vehículo",,154392,11.183741590028
,,,,"Fraude al consumidor",,152630,11.0561070449633
,,,,"Total",,848747,61.4809518842394
,,,,,,,
"Oaxaca",,674120,,,,,
,,,,"Extorsión",,171711,25.4718744437192
,,,,"Robo en calle",,119382,17.7093099151486
