"","NA.","NA..1","NA..2","NA..3","Tipo","NA..4","Absolutos","Relativos"
"131",,,,,"Extorsión",,103231,18.2037324079021
"132",,,,,"Amenazas verbales",,65054,11.4716084128185
"133",,,,,"Hostigamiento sexual",,51192,9.02718630474689
"134",,,,,"Fraude bancario",,46990,8.28620652563011
"135",,,,,"Total",,379027,66.837539918919
"136",,,,,,,,
"137","Nayarit",,202437,,,,,
"138",,,,,"Extorsión",,56241,27.7819766149469
"139",,,,,"Otro tipo de robo",,20786,10.2678858113882
"140",,,,,"Amenazas verbales",,19209,9.48887802131033
"141",,,,,"Fraude bancario",,17266,8.52907324253965
"142",,,,,"Robo parcial de vehículo",,15710,7.76043905017363
"143",,,,,"Total",,129212,63.8282527403587
"144",,,,,,,,
"145","Nuevo León",,1380504,,,,,
"146",,,,,"Fraude bancario",,197847,14.3315050155595
"147",,,,,"Robo en calle",,180470,13.0727618319107
"148",,,,,"Amenazas verbales",,163408,11.8368364017779
"149",,,,,"Robo parcial de vehículo",,154392,11.183741590028
"150",,,,,"Fraude al consumidor",,152630,11.0561070449633
"151",,,,,"Total",,848747,61.4809518842394
"152",,,,,,,,
"153","Oaxaca",,674120,,,,,
"154",,,,,"Extorsión",,171711,25.4718744437192
"155",,,,,"Robo en calle",,119382,17.7093099151486
"156",,,,,"Amenazas verbales",,65211,9.67350026701478
"157",,,,,"Fraude al consumidor",,52467,7.78303566130659
"158",,,,,"Vandalismo",,47227,7.00572598350442
"159",,,,,"Total",,455998,67.6434462706936
"160",,,,,,,,
"161","Puebla de Zaragoza",,1525896,,,,,
"162",,,,,"Robo en calle",,439477,28.8012420243581
"163",,,,,"Extorsión",,277987,18.2179519443003
"164",,,,,"Fraude bancario",,143921,9.4319009945632
"165",,,,,"Robo parcial de vehículo",,125167,8.20285261905136
"166",,,,,"Fraude al consumidor",,118002,7.73329243932745
"167",,,,,"Total",,1104554,72.3872400216004
"168",,,,,,,,
"169","Querétaro",,591872,,,,,
"170",,,,,"Extorsión",,93716,15.8338289359862
"171",,,,,"Fraude bancario",,73161,12.3609496647924
"172",,,,,"Robo en calle",,66873,11.2985577962803
"173",,,,,"Vandalismo",,63749,10.7707409710208
"174",,,,,"Fraude al consumidor",,54824,9.26281358131488
"175",,,,,"Total",,352323,59.5268909493945
"176",,,,,,,,
"177","Quintana Roo",,486599,,,,,
"178",,,,,"Robo en calle",,84785,17.4239979942417
"179",,,,,"Fraude bancario",,75275,15.4696166658789
"180",,,,,"Robo en casa",,48409,9.94843803624751
"181",,,,,"Amenazas verbales",,45215,9.29204540083313
"182",,,,,"Extorsión",,44277,9.09927887233636
"183",,,,,"Total",,297961,61.2333769695375
"184",,,,,,,,
"185","San Luis Potosí",,704438,,,,,
"186",,,,,"Extorsión",,136952,19.4413135009752
"187",,,,,"Robo en calle",,90259,12.8129090139941
"188",,,,,"Robo parcial de vehículo",,67989,9.65152362592591
"189",,,,,"Fraude bancario",,66169,9.39316164091091
"190",,,,,"Fraude al consumidor",,61756,8.76670480581684
"191",,,,,"Total",,423125,60.065612587623
"192",,,,,,,,
"193","Sinaloa",,498223,,,,,
"194",,,,,"Extorsión",,111670,22.4136581410332
"195",,,,,"Robo en calle",,56904,11.4213916258382
"196",,,,,"Fraude bancario",,56414,11.3230420915935
"197",,,,,"Amenazas verbales",,47612,9.5563633152223
"198",,,,,"Fraude al consumidor",,44633,8.95843828968153
"199",,,,,"Total",,317233,63.6728934633688
"200",,,,,,,,
